timestamp,latitude,longitude,heartRate,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magnetoX,magnetoY,magnetoZ,steps
1736781471435,0.0,0.0,0.0,-1.0941502,-0.9696517,9.514558,0.036651913,-0.081855945,-0.1441642,14.88,21.42,-43.8,0
1736781472455,0.0,0.0,77.0,-0.9672575,-0.6392518,9.562442,0.08674286,-0.013439035,0.09285152,12.719999,23.16,-43.559998,0
1736781474466,0.0,0.0,75.0,-7.0820484,-5.710171,3.3901896,-0.12095132,0.111177474,-0.41416663,36.12,-5.52,-15.179999,0
1736781476478,0.0,0.0,75.0,-5.9998693,-7.589619,5.3606176,-0.56077427,-0.21502456,-0.51068336,29.34,18.119999,-25.74,0
1736781478494,0.0,0.0,75.0,-9.018958,-5.094861,1.8171991,-0.79534656,-0.8772025,0.75991637,28.619999,20.16,-17.039999,0
1736781479495,0.0,0.0,75.0,-7.21373,-5.3821654,2.3774424,-0.7147123,-0.46670106,0.62796944,19.38,20.76,-33.66,0
1736781480513,0.0,0.0,75.0,-6.528988,-6.835446,1.733402,-0.3115413,-0.79534656,0.09285152,13.92,30.359999,-30.539999,0
1736781481514,0.0,0.0,75.0,-5.8442464,-6.3063273,3.5577838,-0.12339478,-0.23090707,-0.03176499,10.86,33.42,-26.519999,0
1736781482544,0.0,0.0,75.0,-6.3566055,-7.577648,1.661576,0.19425514,0.3371976,-0.05375614,5.3399997,34.739998,-25.92,0
1736781483581,0.0,0.0,75.0,-7.690176,-4.441244,2.3774424,-0.72692966,-0.50701815,0.8698721,9.0,32.52,-28.14,0
1736781484607,0.0,0.0,75.0,-5.9424086,-6.742072,1.7932571,-0.97249746,-1.0189233,0.33108896,10.92,33.6,-17.039999,0
1736781485621,0.0,0.0,74.0,-5.566519,-4.4699745,2.542642,-0.44348818,-0.6597345,0.080634214,20.58,25.019999,-9.3,0
1736781486649,0.0,0.0,74.0,-5.813122,-9.397242,2.2242134,-0.5204572,-0.9932669,0.30543262,26.279999,17.58,-13.5,0
1736781488675,0.0,0.0,73.0,-5.403713,-5.0278234,2.954445,0.4373795,0.26389378,-0.20158553,30.96,18.66,3.72,0
1736781490687,0.0,0.0,74.0,-6.8905125,-7.2209125,0.2873042,-0.2125811,0.5045747,0.2968805,28.019999,31.8,-1.14,0
1736781491698,0.0,0.0,75.0,-4.175488,-5.2145715,3.1794999,-1.8081611,0.7489208,-0.784351,24.84,31.14,-10.38,0
1736781492727,0.0,0.0,75.0,-3.2489316,-0.90021986,4.819528,0.70371675,-0.9468411,-1.2266175,18.06,22.92,-23.34,0
1736781494753,0.0,0.0,75.0,-1.2952632,-9.294291,0.80445176,0.10751228,0.2919936,-0.19181168,-1.62,34.68,0.24,11
1736781496779,0.0,0.0,75.0,-1.6759412,-7.40766,-2.243367,-0.63041294,-0.5363397,0.15271631,-1.14,23.82,20.76,14
1736781498805,0.0,0.0,76.0,-4.6495395,-8.1163435,-1.673547,-0.60231316,-0.11484267,0.48747048,22.56,28.26,8.94,15
1736781500833,0.0,0.0,76.0,-11.556811,-3.3877954,5.327099,1.8008307,0.657291,0.9578367,20.34,22.26,-12.66,15
1736781502861,0.0,0.0,76.0,-11.123461,-4.24492,-2.669535,-5.301089,1.1960741,1.5015068,32.64,16.199999,3.9599998,15
1736781504883,0.0,0.0,75.0,-6.9024835,-3.430891,-1.6639702,0.99082345,-0.27855456,-1.2315043,32.52,-18.18,15.299999,15
1736781506907,0.0,0.0,75.0,-10.158598,-2.5833437,4.3718123,0.5119051,0.3115413,-0.5900958,34.26,-0.9,4.08,26
1736781508919,0.0,0.0,76.0,-8.865729,-1.9919758,2.56419,-0.5216789,0.10995574,0.7330383,40.079998,-3.6,-0.59999996,34
1736781509931,0.0,0.0,77.0,-8.513782,-1.7669208,2.6240451,-0.18570304,-0.2003638,0.029321533,36.239998,-9.179999,-5.8799996,36
1736781510953,0.0,0.0,77.0,-8.63828,-2.4492683,3.6176388,0.18081611,-0.2773328,0.056199603,35.34,-11.639999,-10.32,40
1736781511981,0.0,0.0,78.0,-8.015787,-3.5338416,2.705448,-1.2950343,-0.13927728,0.86254174,33.18,-7.44,-20.34,42
1736781513008,0.0,0.0,78.0,-6.691794,-5.1379566,5.9519854,-4.5704937,-2.243097,-2.035403,30.72,-7.44,-26.64,46
1736781514054,0.0,0.0,77.0,0.62488663,-11.188105,-9.667787,6.2943554,-0.23945917,0.118507855,2.28,31.08,11.219999,46
1736781515080,0.0,0.0,77.0,-2.9376855,-6.2249246,-4.6016555,1.0531317,-0.89552844,0.23579398,11.04,14.82,-17.46,47
1736781516093,0.0,0.0,77.0,-9.100361,-3.3135753,0.34237084,-0.5338962,-1.0604621,-1.378112,29.82,-17.58,-12.24,47
1736781517122,0.0,0.0,77.0,-4.414908,-9.598354,0.78290397,-1.9865338,-0.6462954,0.13561209,15.719999,9.9,-12.78,47
1736781519148,0.0,0.0,77.0,-1.1085154,-9.457097,2.2385786,-0.13439035,-0.8918633,-0.07696902,1.62,19.14,-20.34,47
1736781521175,0.0,0.0,77.0,-8.228871,-5.6120086,2.2505496,0.2919936,0.17470746,-0.17959438,6.7799997,27.539999,5.58,47
1736781523184,0.0,0.0,78.0,-9.821015,-2.3750482,1.0151415,-1.3622295,-0.7281514,1.8252654,31.32,13.08,0.0,58
1736781524187,0.0,0.0,79.0,-7.979874,-1.7405846,1.6208745,-0.4129449,-0.43493605,-1.1178834,23.82,-5.04,-22.92,60
1736781525215,0.0,0.0,79.0,-8.039729,-1.9512744,1.3431472,0.015882496,0.19181168,-0.59986967,11.639999,-24.3,6.6,64
1736781527222,0.0,0.0,80.0,-9.519346,-1.5035586,2.207454,0.05375614,-0.5693264,-0.8246681,12.599999,-3.48,-19.199999,71
1736781528230,0.0,0.0,80.0,-6.2464724,-3.5649664,-2.5330653,0.009773844,0.6939429,-0.0036651916,19.08,-5.64,-10.38,73
1736781529238,0.0,0.0,80.0,-10.024523,-4.4795513,-2.4779987,0.06352998,-0.48502702,0.1966986,37.68,-5.1,-3.84,77
