watch_id,bt_device,TIR,RSSI
192.168.245.161,0XFJ,34,1822
192.168.245.161,0M2P,43,2249
192.168.245.161,B0VD,29,1447
192.168.245.167,0WCE,17,718
192.168.245.167,GHBP,31,1574
192.168.245.167,0XVM,30,1560
192.168.245.167,0Y0H,42,2267
192.168.245.167,0S0P,30,1674
192.168.245.167,48CT,50,2914
192.168.245.167,B0VD,27,1387
192.168.245.167,0M2P,29,1515
192.168.245.167,B0YJ,83,4496
192.168.245.167,B17X,31,1660
192.168.245.167,0WEY,48,2602
192.168.245.167,B0SM,38,2036
192.168.245.167,0YRJ,48,2640
192.168.245.167,0MVY,36,1846
192.168.245.167,486A,42,2220
192.168.245.167,0SEK,36,1936
192.168.245.167,0RHZ,34,1800
192.168.245.167,0T3P,52,2650
192.168.245.167,0MHL,14,746
192.168.245.167,0XFJ,50,2746
192.168.245.167,10PW,48,2540
192.168.245.167,3LQF,6,310
192.168.245.177,B17X,34,1813
192.168.245.177,0SEK,33,1794
192.168.245.177,0XVM,35,1947
192.168.245.177,GHBP,35,1999
192.168.245.177,0MHL,25,1384
192.168.245.177,B0VD,28,1437
192.168.245.177,10PW,31,1622
192.168.245.177,0T3P,33,1788
192.168.245.177,0MVY,29,1507
192.168.245.177,0WCE,27,1368
192.168.245.177,48CT,23,1180
192.168.245.177,B0YJ,71,3958
192.168.245.177,486A,25,1409
192.168.245.177,0RHZ,29,1679
192.168.245.177,0Y0H,30,1778
192.168.245.177,3LQF,10,550
192.168.245.177,0XYP,42,2366
192.168.245.177,0WEY,42,2410
192.168.245.177,B0SM,28,1616
192.168.245.177,0M2P,28,1578
192.168.245.177,0S0P,32,1746
192.168.245.177,0XFJ,26,1458
192.168.245.183,486A,8,424
192.168.245.183,0MHL,4,190
192.168.245.183,0S0P,10,566
192.168.245.183,0M2P,2,120
192.168.245.183,0XFJ,6,308
192.168.245.183,B0VD,8,420
192.168.245.183,0XYP,12,698
192.168.245.183,B17X,4,184
192.168.245.183,B0SM,8,454
192.168.245.183,0RHZ,8,418
192.168.245.183,10PW,6,336
192.168.245.183,0WEY,2,116
192.168.245.183,B0YJ,18,1156
192.168.245.183,0T3P,8,450
192.168.245.183,0MVY,2,98
192.168.245.183,0YRJ,10,548
192.168.245.183,0Y0H,6,358
192.168.245.183,GHBP,4,188
192.168.245.183,0XVM,2,176
192.168.245.183,0WCE,4,276
192.168.245.19,48CT,15,865
192.168.245.19,3LQF,11,644
192.168.245.19,0RHZ,29,1710
192.168.245.19,0T3P,22,1188
192.168.245.19,0M2P,18,1106
192.168.245.19,0MVY,8,462
192.168.245.19,486A,22,1066
192.168.245.19,0Y0H,16,902
192.168.245.19,B0YJ,26,1450
192.168.245.19,0S0P,18,984
192.168.245.19,0SEK,12,634
192.168.245.19,0XFJ,14,704
192.168.245.19,0WCE,36,1904
192.168.245.19,B17X,26,1276
192.168.245.19,B0VD,21,1118
192.168.245.19,GHBP,18,950
