timestamp,latitude,longitude,heartRate,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magnetoX,magnetoY,magnetoZ,steps
1736781085232,0.0,0.0,0.0,-2.1883004,1.9847932,9.605537,-0.03176499,-0.02076942,0.02687807,436.62,-494.03998,-1421.4,0
1736781087293,0.0,0.0,0.0,-1.2617443,3.016694,9.3661175,0.16982053,0.008552114,0.056199603,434.69998,-492.9,-1423.86,0
1736781089305,0.0,0.0,0.0,-1.8171991,1.8124107,9.662998,-0.15515977,0.02443461,-0.119729586,433.74,-496.13998,-1421.4,0
1736781090316,0.0,0.0,0.0,-2.006341,0.6536171,10.019734,0.02076942,0.036651913,0.0012217305,435.12,-493.02,-1424.4,0
1736781091365,0.0,0.0,0.0,-1.9632454,0.8738836,9.751583,0.034208454,0.007330383,0.0012217305,437.03998,-487.62,-1426.02,0
1736781092378,0.0,0.0,0.0,-6.145916,0.94810385,10.113108,1.2412782,0.46670106,-0.30543262,437.63998,-484.8,-1428.24,0
1736781093419,0.0,0.0,0.0,-4.223372,-8.317456,6.5098343,2.130698,0.8258898,-0.112399206,-11.7,24.9,-12.78,0
1736781094441,0.0,0.0,0.0,-4.1132383,-0.51475334,8.848969,-0.50335294,-0.1966986,-0.2406809,15.66,-18.539999,-29.58,0
1736781095447,0.0,0.0,0.0,-2.834735,0.12210429,9.548077,0.46914452,-0.04886922,0.11362094,-13.38,-28.08,-27.599998,0
1736781096450,0.0,0.0,0.0,-1.0462662,3.5003228,9.354146,-0.05009095,0.064751714,-0.06841691,-16.68,-35.46,-23.46,0
1736781097461,0.0,0.0,0.0,-0.90979666,2.5234885,9.414001,-0.04886922,0.052534413,0.0036651916,-20.52,-34.8,-23.699999,0
1736781098464,0.0,0.0,0.0,-1.4772224,2.5258827,9.830592,0.007330383,0.06352998,-0.04520403,-18.9,-33.48,-23.76,0
1736781099475,0.0,0.0,0.0,-1.9033904,2.4157495,9.512163,0.0,0.012217305,-0.018325957,-17.039999,-34.8,-25.5,0
1736781101490,0.0,0.0,0.0,-2.0853498,2.4612393,9.536105,-0.021991149,-0.0012217305,-0.0012217305,-16.32,-33.54,-25.439999,0
1736781102492,0.0,0.0,0.0,-0.8714894,2.6503813,9.085996,0.17959438,-0.2003638,0.012217305,-18.359999,-33.96,-25.019999,0
1736781103504,0.0,0.0,0.0,-1.0726024,2.4875755,9.574412,0.0842994,0.004886922,-0.014660766,-18.72,-35.28,-23.939999,0
1736781104506,0.0,0.0,0.0,-0.9935937,1.448492,9.512163,-0.27855456,0.19914207,0.36774087,-16.14,-31.14,-25.56,0
1736781105518,0.0,0.0,0.0,-0.2681506,1.5897499,9.909601,-0.057421334,-0.09407325,-0.44226643,-19.859999,-26.939999,-26.279999,0
1736781107532,0.0,0.0,0.0,-1.0941502,0.8810662,10.105926,0.019547688,-0.008552114,0.035430185,-17.039999,-26.64,-28.68,0
1736781109541,0.0,0.0,71.0,-1.4772224,1.4077905,9.864111,0.05131268,0.002443461,0.043982297,-15.54,-29.46,-26.82,0
1736781111557,0.0,0.0,74.0,-2.6647465,0.36631286,9.76116,0.10873401,-0.064751714,-0.02565634,-9.179999,-24.84,-28.56,0
1736781113571,0.0,0.0,79.0,-2.6910827,0.4165911,9.56723,0.017104227,-0.042760566,0.10873401,-9.78,-25.08,-29.279999,0
1736781114576,0.0,0.0,82.0,-4.010288,1.9393034,9.241618,-2.0244074,-0.036651913,0.09162979,-10.86,-25.32,-29.46,0
1736781115615,0.0,0.0,82.0,-1.3215994,2.789245,9.258378,0.4642576,-0.08552113,0.061086524,-13.38,-21.3,-27.42,0
1736781116636,0.0,0.0,0.0,-1.7381904,2.0518308,9.665392,-0.07574729,0.07696902,-0.032986723,-12.42,-33.96,-24.539999,0
1736781117668,0.0,0.0,83.0,-2.6479871,2.4013844,9.174581,-0.7892379,-0.008552114,0.59742624,-9.059999,-33.18,-25.859999,0
1736781118688,0.0,0.0,84.0,0.6344634,-11.293449,-1.283292,-0.48991394,0.66339964,0.2846632,-22.14,33.18,-9.599999,0
1736781119724,0.0,0.0,85.0,-6.9144545,-8.652645,-0.8499416,-1.2046263,1.4526376,-0.07696902,-7.98,24.0,-22.199999,0
1736781120736,0.0,0.0,85.0,-3.8905778,-7.656657,1.5298948,0.103847094,-0.26511553,0.09407325,10.08,22.5,-18.779999,0
1736781121767,0.0,0.0,84.0,-2.360683,-11.5616,-2.336741,-3.2473598,-2.6499333,-0.95417154,8.7,27.779999,-14.94,0
1736781122781,0.0,0.0,84.0,0.045489833,-10.613496,-4.6040497,-0.2406809,1.1410962,0.14049901,-12.179999,37.8,7.14,0
1736781123820,0.0,0.0,84.0,-8.853758,-5.023035,-0.08619126,0.5180137,0.56688297,-0.24556783,24.9,16.859999,-10.5,0
1736781124837,0.0,0.0,85.0,-1.0726024,-11.695675,-1.3335704,0.453262,-0.40561453,0.5338962,38.16,0.71999997,-0.35999998,0
1736781125852,0.0,0.0,85.0,-5.7748146,-3.4021606,-4.367024,-1.1374311,0.28710666,-0.19547687,39.48,-0.24,10.92,0
1736781126855,0.0,0.0,84.0,-8.066066,-7.5345526,0.2657564,0.17348573,1.3952162,-1.319469,40.68,-4.2,8.46,0
1736781127865,0.0,0.0,85.0,-1.8962077,-14.092271,0.51475334,1.2351695,0.18325958,-0.9419542,32.88,14.219999,14.219999,0
1736781128868,0.0,0.0,86.0,-1.9752164,-20.132843,-0.6871359,0.04642576,-0.9639453,0.5045747,31.199999,19.56,16.44,0
1736781129880,0.0,0.0,86.0,-4.9440265,0.59136784,8.913613,1.174083,-0.29810223,-0.3005457,48.0,-10.08,-14.88,0
1736781130884,0.0,0.0,87.0,-10.505757,-3.7588966,4.3598413,-0.118507855,-1.4453071,-0.14905111,50.399998,-8.88,-3.06,0
1736781131909,0.0,0.0,89.0,-9.890448,-0.9528923,6.033388,-1.9291124,0.6401868,-0.12095132,68.04,-1.9799999,16.92,0
1736781132912,0.0,0.0,90.0,-1.3790601,-5.020641,5.805939,-4.4532075,-2.453235,0.4202753,39.54,3.78,4.14,0
1736781133932,0.0,0.0,93.0,-0.9528923,-7.989451,5.2648497,0.7147123,0.07086037,0.013439035,14.7,31.74,22.8,0
1736781135960,0.0,0.0,93.0,-5.875371,-3.8283286,4.9440265,-0.05009095,0.52656585,-0.028099801,26.64,16.199999,-7.5,0
1736781137986,0.0,0.0,94.0,-3.4380736,-6.981492,4.8841715,-0.35063666,-1.2938126,0.3005457,15.42,27.599998,-22.68,0
1736781140013,0.0,0.0,93.0,7.764396,1.1109096,4.805163,0.23701571,0.64873886,-0.28955013,-47.399998,-4.38,-10.92,0
1736781142039,0.0,0.0,93.0,-0.51235914,2.8682537,9.694122,0.2919936,-0.0720821,-0.13805555,-16.5,-27.24,-26.76,0
1736781144062,0.0,0.0,94.0,-7.007828,-6.777985,-2.5689783,-0.14782938,0.07696902,0.2846632,4.74,38.82,-8.82,11
1736781146098,0.0,0.0,96.0,-7.1466923,-8.765172,-0.6368576,0.30543262,-0.52534413,-0.42394048,11.219999,36.0,-1.14,17
1736781147118,0.0,0.0,98.0,-4.596867,-7.9750857,-1.8291701,-0.7330383,0.22357668,0.4007276,3.9599998,37.44,-14.28,19
1736781148172,0.0,0.0,101.0,5.197812,-3.7804444,3.2944214,7.5380774,0.88086766,1.0164797,-29.46,27.0,11.16,19
1736781149179,0.0,0.0,102.0,2.2577322,-7.991845,-3.8666358,0.26511553,0.90408057,0.13927728,-28.619999,38.64,12.9,22
1736781150220,0.0,0.0,105.0,1.6567876,-10.577583,-1.1971009,0.20280726,0.15149458,0.22602014,-27.06,41.34,-3.24,24
