timestamp,latitude,longitude,heartRate,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magnetoX,magnetoY,magnetoZ,steps
1736781085990,0.0,0.0,0.0,-0.10055647,2.2601264,9.504981,0.019547688,0.02443461,-0.06352998,426.41998,-569.04,-1476.6599,0
1736781088017,0.0,0.0,99.0,-0.48123455,2.4061728,9.615114,0.008552114,-0.029321533,-0.06352998,426.47998,-568.32,-1476.6599,0
1736781089033,0.0,0.0,98.0,-0.581791,2.5474305,9.528923,0.007330383,-0.007330383,-0.03176499,426.12,-566.45996,-1480.02,0
1736781090067,0.0,0.0,98.0,-0.93134445,2.621651,9.514558,-0.13683382,0.007330383,-0.05497787,424.5,-567.54,-1480.38,0
1736781091082,0.0,0.0,98.0,-0.6560113,2.825158,9.358934,-0.035430185,0.103847094,0.06719518,425.52,-566.58,-1478.1,0
1736781092118,0.0,0.0,95.0,-1.2378023,-2.3056161,9.713276,-0.2968805,0.15149458,-0.25778514,427.74,-560.88,-1478.58,0
1736781093139,0.0,0.0,95.0,-0.6368576,-1.8363527,9.787497,0.007330383,-0.08674286,0.059864793,429.78,-556.98,-1477.38,0
1736781094170,0.0,0.0,96.0,-0.6895301,-1.8315643,9.636662,-0.029321533,0.004886922,0.23335053,428.81998,-553.56,-1476.48,0
1736781095189,0.0,0.0,97.0,-1.4221559,-2.1140802,9.313444,0.11484267,-0.07086037,-0.043982297,428.88,-553.5,-1476.7799,0
1736781096195,0.0,0.0,96.0,-1.0726024,-1.6472107,9.272743,0.028099801,0.06963864,0.017104227,429.47998,-555.6,-1475.22,0
1736781097199,0.0,0.0,97.0,-1.1659763,-1.0965444,9.938332,-0.029321533,-0.039095376,-0.20280726,428.75998,-558.48,-1476.7799,0
1736781098210,0.0,0.0,98.0,-1.496376,-0.4429273,9.272743,-0.04886922,0.042760566,0.16615535,430.74,-558.18,-1476.84,0
1736781100224,0.0,0.0,99.0,0.7469909,3.2800562,7.917625,0.312763,-0.45937067,-0.6792821,428.63998,-562.74,-1478.1599,0
1736781101227,0.0,0.0,100.0,-0.91458505,4.225766,8.844181,0.047647487,-0.08307768,0.23823744,-8.04,3.3,-16.68,0
1736781102238,0.0,0.0,100.0,-0.7565677,5.5258174,6.7731967,-0.36041048,0.6597345,0.56688297,4.62,4.56,-22.68,0
1736781104252,0.0,0.0,97.0,-1.1563994,-6.145916,6.0118403,-0.9407325,0.52412236,-0.3885103,17.94,6.12,-9.42,0
1736781106267,0.0,0.0,100.0,-8.236053,-2.468422,-0.8403648,-1.2852604,0.4654793,1.2913691,24.42,19.14,31.619999,0
1736781108277,0.0,0.0,0.0,-6.2991447,-3.8426938,5.533,0.8014552,-0.13683382,-0.57787853,27.9,27.18,3.54,11
